"Sheet","Reference","Function","Passive Type","Required Electrical Class","PAS-01 Candidate","Existing Blocker","Dependent Active Device","QER / PPQ Evidence","PAS-01R Evidence Required","Evidence Confidence","Final Disposition","Closure Route"
"02_Power_Conversion","C206","47 uF nominal mux transition reservoir; >=30 uF effective at 5.25 V; >=10 V; not system hold-up","Capacitor","47 uF nominal mux transition reservoir; >=30 uF effective at 5.25 V; >=10 V; not system hold-up","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U202 TPS2121RUXR / U203 TPS62135RGXR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U202 switchover plus U203 input transient model and exact DC-bias curve","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","C208","22 uF nominal; >=15 uF effective at 3.4 V; >=10 V X7R; regulator-stable ESR","Capacitor","22 uF nominal; >=15 uF effective at 3.4 V; >=10 V X7R; regulator-stable ESR","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U203 TPS62135RGXR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U203 LC stability and effective-capacitance solution","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","C209","22 uF nominal; >=15 uF effective at 3.4 V; >=10 V X7R; regulator-stable ESR","Capacitor","22 uF nominal; >=15 uF effective at 3.4 V; >=10 V X7R; regulator-stable ESR","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U203 TPS62135RGXR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U203 LC stability and effective-capacitance solution","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","C210","10 nF soft start","Capacitor","10 nF soft start","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U203 TPS62135RGXR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U203 exact soft-start equation and tolerance","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","L201","15 uH +/-20%; hot Isat >=3.2 A; Irms >=2.1 A; DCR <=100 mOhm; -40..125 C","Inductor","15 uH +/-20%; hot Isat >=3.2 A; Irms >=2.1 A; DCR <=100 mOhm; -40..125 C","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U201 LMR38020FSQDDARQ1","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U201 ripple/current/loss solution at selected PFM/FPWM suffix","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"02_Power_Conversion","L202","2.2 uH +/-20%; hot Isat >=4.0 A; Irms >=1.6 A; DCR <=60 mOhm; -40..125 C","Inductor","2.2 uH +/-20%; hot Isat >=4.0 A; Irms >=1.6 A; DCR <=60 mOhm; -40..125 C","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U203 TPS62135RGXR","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U203 exact switching mode, ripple, saturation and loss solution","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"03_ESP32_Core","C305","93.1 nF Â±1% C0G/NP0 â‰¥10 V; CT; 99.642 ms nominal; leakage â‰¤10 nA; -40..125 Â°C","Capacitor","93.1 nF Â±1% C0G/NP0 â‰¥10 V; CT; 99.642 ms nominal; leakage â‰¤10 nA; -40..125 Â°C","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U302 TPS389030-Q1","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","TPS3890-Q1 full CT tolerance stack and schematic value correction","HIGH - ECO-009R electrical class verified; exact MPN/prototype open","BLOCKED - EXACT MPN/PROTOTYPE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"08_Expansion","C805","10 nF Â±10% X7R - TPS3899 CTR; 6.2 ms nominal","Capacitor","10 nF Â±10% X7R - TPS3899 CTR; 6.2 ms nominal","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U801 TPS3899DL01DSER","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models",,"MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"08_Expansion","R807","31.6 kÎ© Â±0.1%, â‰¤25 ppm/Â°C - TPS3899 SENSE lower divider","Precision resistor","31.6 kÎ© Â±0.1%, â‰¤25 ppm/Â°C - TPS3899 SENSE lower divider","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U801 TPS3899DL01DSER","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models",,"MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"08_Expansion","R808","1.30 MÎ© Â±0.1%, â‰¤25 ppm/Â°C - output-to-SENSE feedback","Precision resistor","1.30 MÎ© Â±0.1%, â‰¤25 ppm/Â°C - output-to-SENSE feedback","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U801 TPS3899DL01DSER","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models","U801 threshold/hysteresis/leakage full tolerance stack","MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
"08_Expansion","R809","4.70 kÎ© Â±1% - TPS3899 output pull-up","Precision resistor","4.70 kÎ© Â±1% - TPS3899 output pull-up","","Dependent active-device equation, manufacturer DC-bias curve, stability tool, hot magnetic model, or timing suffix is not yet closed.","U801 TPS3899DL01DSER","QER-01; PPQ-01; PPQ-02 capacitor/magnetic/threshold models",,"MEDIUM - exact active MPN selected; manufacturer tool/curve or prototype evidence remains","BLOCKED - EXACT TOOL/CURVE EVIDENCE REQUIRED","PACS-01R-A - close named manufacturer tool/curve, thermal, threshold or exact-MPN evidence"
