"Reference","Sheet","Function","Current EBOM Status","Prototype Population Status","Reason","Required For First Power-Up","Required For Functional Testing","Required For Safety Testing","Required For USB Programming","Required For Motion Testing","Required For Expansion Testing","Installation Phase"
"C208","02_Power_Conversion","22 uF nominal; >=15 uF effective at 3.4 V; >=10 V X7R; regulator-stable ESR","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C209","02_Power_Conversion","22 uF nominal; >=15 uF effective at 3.4 V; >=10 V X7R; regulator-stable ESR","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C210","02_Power_Conversion","10 nF soft start","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C211","02_Power_Conversion","1 nF slew control","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C212","02_Power_Conversion","4.7 µF branch local","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C213","02_Power_Conversion","1 nF slew control","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C214","02_Power_Conversion","4.7 µF branch local","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C215","02_Power_Conversion","1 nF slew control","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C216","02_Power_Conversion","4.7 µF branch local","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C217","02_Power_Conversion","4.7 µF branch local","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C218","02_Power_Conversion","1 nF slew control","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C219","02_Power_Conversion","4.7 µF branch local","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C220","02_Power_Conversion","1 nF slew control","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C221","02_Power_Conversion","4.7 µF branch local","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D201","02_Power_Conversion","4.7 V EN clamp","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D202","02_Power_Conversion","3.3 V bias clamp","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D203","02_Power_Conversion","Schottky reverse-injection block (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D204","02_Power_Conversion","Schottky reverse-injection block (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D205","02_Power_Conversion","Schottky reverse-injection block (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D206","02_Power_Conversion","Schottky reverse-injection block (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D207","02_Power_Conversion","Schottky reverse-injection block (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D208","02_Power_Conversion","Schottky reverse-injection block (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D209","02_Power_Conversion","Schottky reverse-injection block (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"D210","02_Power_Conversion","Schottky reverse-injection block (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"L201","02_Power_Conversion","15 uH +/-20%; hot Isat >=3.2 A; Irms >=2.1 A; DCR <=100 mOhm; -40..125 C","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"L202","02_Power_Conversion","2.2 uH +/-20%; hot Isat >=4.0 A; Irms >=1.6 A; DCR <=60 mOhm; -40..125 C","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R201","02_Power_Conversion","64.9 kΩ ±1%, ≤100 ppm/°C — LMR38020F-Q1 RT/SYNC, 400 kHz","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R202","02_Power_Conversion","100 kΩ 0.1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R203","02_Power_Conversion","24.9 kΩ 0.1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R204","02_Power_Conversion","100 kΩ","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R205","02_Power_Conversion","10.2 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R206","02_Power_Conversion","5.00 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R207","02_Power_Conversion","23.7 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R208","02_Power_Conversion","5.00 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R209","02_Power_Conversion","60.4 kΩ 1% — ≈2 A limit (verify)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R210","02_Power_Conversion","316 kΩ 0.1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R211","02_Power_Conversion","100 kΩ 0.1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R212","02_Power_Conversion","100 kΩ enable","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R213","02_Power_Conversion","10 kΩ PGOOD pull-up","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R214","02_Power_Conversion","100 kΩ fail-low","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R215","02_Power_Conversion","10 kΩ main-bias pull-up","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R216","02_Power_Conversion","100 kΩ bias feed","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R217","02_Power_Conversion","10 kΩ PGOOD pull-up","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R218","02_Power_Conversion","100 kΩ fail-low","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R219","02_Power_Conversion","100 kΩ fail-low","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R220","02_Power_Conversion","100 kΩ fail-low","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R221","02_Power_Conversion","100 kΩ fail-low","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R222","02_Power_Conversion","141 kΩ ±1%, ≤100 ppm/°C — TPS2553-Q1 ILIM; 162.8..222.4 mA worst case","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R223","02_Power_Conversion","141 kΩ ±1%, ≤100 ppm/°C — TPS2553-Q1 ILIM; 162.8..222.4 mA worst case","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R224","02_Power_Conversion","141 kΩ ±1%, ≤100 ppm/°C — TPS2553-Q1 ILIM; 162.8..222.4 mA worst case","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R225","02_Power_Conversion","1 kΩ QOD limit","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R226","02_Power_Conversion","1 kΩ QOD limit","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R227","02_Power_Conversion","1 kΩ QOD limit","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R228","02_Power_Conversion","1 kΩ QOD limit","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R229","02_Power_Conversion","1 kΩ QOD limit","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R230","02_Power_Conversion","23.7 kΩ 1% — USB OV2","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","YES","NO","NO","Stage C - core 3.3 V and MCU population"
"R231","02_Power_Conversion","5.00 kΩ 1%","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U201","02_Power_Conversion","LMR38020F-Q1 adjustable-frequency family; 4.2..80 V; 5.0 V/2 A; RT/SYNC-programmed 400 kHz; PGOOD; spread spectrum","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U202","02_Power_Conversion","TPS2121RUXR priority power mux","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U203","02_Power_Conversion","4.4..5.25 V synchronous buck class; 3.3 V/1.5 A continuous; >=2.5 A limit; ~2.5 MHz; Tj <=110 C","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U204","02_Power_Conversion","SN74LVC1G08-Q1 — MAIN_INPUT_VALID AND MAIN_5V_PGOOD","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
