"Item","Category","Selection Scope","Manufacturer","Manufacturer Part Number","Preferred Distributor","Preferred Distributor Ordering Code","Alternate Distributor","Alternate Distributor Ordering Code","Lifecycle","Stock Status","RoHS","Second Source","Approved Alternate","Approved Alternate Vendor Code","Freeze Status","Sourcing Risk","Requirement Trace Reference","Risk","Review Date"
"07_UI_Peripherals/U704","Displays","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"03_ESP32_Core/U301","ESP32","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"02_Power_Conversion/U210","I2C","CSR-01A POWER","Texas Instruments","TPS22918TDBVRQ1","Texas Instruments","TPS22918TDBVRQ1","Functional alternate only","TPS22995H-Q1 (functional, different pinout)","ACTIVE / PRODUCTION - manufacturer review 2026-07-31","Manufacturer orderable; distributor snapshot requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","TPS22995H-Q1 (functional, different pinout)","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","PACS-01; QER-01/02/03; PPQ-01/02; applicable ECO","ANALYSIS INCOMPLETE â€” exact suffix equations, pin mapping, thresholds, timing, partial-power, thermal, and fault behavior are not all closed. PACS-01 reviewed candidate TPS22918TDBVRQ1; package rejected as a whole because U101 and U801 remain blocked. Do not procure or assign footprint. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"02_Power_Conversion/U211","I2C","CSR-01A POWER","Texas Instruments","TPS22918TDBVRQ1","Texas Instruments","TPS22918TDBVRQ1","Functional alternate only","TPS22995H-Q1 (functional, different pinout)","ACTIVE / PRODUCTION - manufacturer review 2026-07-31","Manufacturer orderable; distributor snapshot requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","TPS22995H-Q1 (functional, different pinout)","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","PACS-01; QER-01/02/03; PPQ-01/02; applicable ECO","ANALYSIS INCOMPLETE â€” exact suffix equations, pin mapping, thresholds, timing, partial-power, thermal, and fault behavior are not all closed. PACS-01 reviewed candidate TPS22918TDBVRQ1; package rejected as a whole because U101 and U801 remain blocked. Do not procure or assign footprint. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"07_UI_Peripherals/U702","I2C","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"07_UI_Peripherals/U706","I2C","CSR-01A POWER","Texas Instruments","TCA9517ADGKR","Texas Instruments","TCA9517ADGKR","Functional alternate only","PCA9517ADGKR (functional review required)","ACTIVE / PRODUCTION - manufacturer review 2026-07-31","Manufacturer orderable; distributor snapshot requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","PCA9517ADGKR (functional review required)","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","PACS-01; QER-01/02/03; PPQ-01/02; applicable ECO","ANALYSIS INCOMPLETE â€” ECO-006 physical class is defined and TCA9517A is a candidate; exact pin equivalence, offset-low compatibility, partial-power behavior, lifecycle, sourcing, and cost evidence remain pending. PACS-01 reviewed candidate TCA9517ADGKR; package rejected as a whole because U101 and U801 remain blocked. Do not procure or assign footprint. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"07_UI_Peripherals/U707","I2C","CSR-01A POWER","Texas Instruments","TCA9517ADGKR","Texas Instruments","TCA9517ADGKR","Functional alternate only","PCA9517ADGKR (functional review required)","ACTIVE / PRODUCTION - manufacturer review 2026-07-31","Manufacturer orderable; distributor snapshot requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","PCA9517ADGKR (functional review required)","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","PACS-01; QER-01/02/03; PPQ-01/02; applicable ECO","ANALYSIS INCOMPLETE â€” ECO-006 physical class is defined and TCA9517A is a candidate; exact pin equivalence, offset-low compatibility, partial-power behavior, lifecycle, sourcing, and cost evidence remain pending. PACS-01 reviewed candidate TCA9517ADGKR; package rejected as a whole because U101 and U801 remain blocked. Do not procure or assign footprint. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"08_Expansion/U802","I2C","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"02_Power_Conversion/U204","Logic","CSR-01A POWER","Texas Instruments","SN74LVC1G08QDCKRQ1","Texas Instruments","SN74LVC1G08QDCKRQ1","Functional alternate only","SN74LVC1G08QDRYRQ1 (functional, different package)","ACTIVE / PRODUCTION - manufacturer review 2026-07-31","Manufacturer orderable; distributor snapshot requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","SN74LVC1G08QDRYRQ1 (functional, different package)","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","PACS-01; QER-01/02/03; PPQ-01/02; applicable ECO","ANALYSIS INCOMPLETE â€” exact suffix equations, pin mapping, thresholds, timing, partial-power, thermal, and fault behavior are not all closed. PACS-01 reviewed candidate SN74LVC1G08QDCKRQ1; package rejected as a whole because U101 and U801 remain blocked. Do not procure or assign footprint. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"02_Power_Conversion/U205","Logic","CSR-01A POWER","Texas Instruments","SN74LVC08AQPWRQ1","Texas Instruments","SN74LVC08AQPWRQ1","Functional alternate only","SN74LVC08AQBQARQ1 (functional, different package)","ACTIVE / PRODUCTION - manufacturer review 2026-07-31","Manufacturer orderable; distributor snapshot requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","SN74LVC08AQBQARQ1 (functional, different package)","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","PACS-01; QER-01/02/03; PPQ-01/02; applicable ECO","ANALYSIS INCOMPLETE â€” exact suffix equations, pin mapping, thresholds, timing, partial-power, thermal, and fault behavior are not all closed. PACS-01 reviewed candidate SN74LVC08AQPWRQ1; package rejected as a whole because U101 and U801 remain blocked. Do not procure or assign footprint. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"03_ESP32_Core/U302","Logic","CSR-01A POWER","Texas Instruments","TPS389030QDSERQ1","Texas Instruments","TPS389030QDSERQ1","Functional alternate only","NONE - threshold/timing/pin exactness required","ACTIVE / PRODUCTION - manufacturer review 2026-07-31","Manufacturer orderable; distributor snapshot requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","NONE - threshold/timing/pin exactness required","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","PACS-01; QER-01/02/03; PPQ-01/02; applicable ECO","ANALYSIS INCOMPLETE â€” exact suffix equations, pin mapping, thresholds, timing, partial-power, thermal, and fault behavior are not all closed. PACS-01 reviewed candidate TPS389030QDSERQ1; package rejected as a whole because U101 and U801 remain blocked. Do not procure or assign footprint. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"04_Safety_Inputs/U406","Logic","OUTSIDE CSR-01A","Texas Instruments","TLV7044QPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","Manufacturer production order code; compliance confirmation required at purchase","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and current distributor evidence deferred","QER-04; ECO-011A1R; ADR-042","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"04_Safety_Inputs/U407","Logic","OUTSIDE CSR-01A","Texas Instruments","TLV7044QPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","Manufacturer production order code; compliance confirmation required at purchase","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and current distributor evidence deferred","QER-04; ECO-011A1R; ADR-042","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"04_Safety_Inputs/U408","Logic","OUTSIDE CSR-01A","Texas Instruments","TLV7044QPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","Manufacturer production order code; compliance confirmation required at purchase","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and current distributor evidence deferred","QER-04; ECO-011A1R; ADR-042","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"04_Safety_Inputs/U409","Logic","OUTSIDE CSR-01A","Texas Instruments","SN74LVC08AQPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","Manufacturer production order code; compliance confirmation required at purchase","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and current distributor evidence deferred","QER-04; ECO-011A1R; ADR-042","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"04_Safety_Inputs/U410","Logic","OUTSIDE CSR-01A","Texas Instruments","SN74LVC08AQPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","Manufacturer production order code; compliance confirmation required at purchase","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and current distributor evidence deferred","QER-04; ECO-011A1R; ADR-042","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"04_Safety_Inputs/U411","Logic","OUTSIDE CSR-01A","Texas Instruments","SN74LVC14AQPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","Manufacturer production order code; compliance confirmation required at purchase","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and current distributor evidence deferred","QER-04; ECO-011A1R; ADR-042","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"05_Motor_Interfaces/U504","Logic","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"05_Motor_Interfaces/U505","Logic","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"05_Motor_Interfaces/U506","Logic","OUTSIDE CSR-01A","Texas Instruments","SN74LVC14AQPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and distributor evidence deferred","ADR-043; ECO-011A2; ECO-001","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"05_Motor_Interfaces/U507","Logic","OUTSIDE CSR-01A","Texas Instruments","SN74LVC08AQPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and distributor evidence deferred","ADR-043; ECO-011A2; ECO-001","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"05_Motor_Interfaces/U508","Logic","OUTSIDE CSR-01A","Texas Instruments","SN74LVC08AQPWRQ1","Texas Instruments / authorized distributor","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","ACTIVE â€” official TI evidence checked 2026-08-04","Exact active TI production order code; commercial stock snapshot deferred","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","MEDIUM â€” second-source and distributor evidence deferred","ADR-043; ECO-011A2; ECO-001","Exact device selected; footprint, commercial evidence and prototype qualification remain gated.","2026-07-31"
"06_Relay_MasterInhibit/U602","Logic","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"06_Relay_MasterInhibit/U603","Logic","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"07_UI_Peripherals/U701","Logic","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"07_UI_Peripherals/U703","Logic","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"08_Expansion/U801","Logic","CSR-01A POWER","Texas Instruments","TPS3899DL01DSER","Texas Instruments","TPS3899DL01DSER","Functional alternate only","Architecture-compatible alternate not demonstrated","ACTIVE - TI review 2026-07-31","Orderable; stock requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","Architecture-compatible alternate not demonstrated","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","ECO-010; PACS-01R","ANALYSIS INCOMPLETE - exact suffix/system revalidation remains required. ECO-010 selectable implementation TPS3899DL01DSER; BLOCKED - PACS-01R SYSTEM REVALIDATION; no footprint or procurement release. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"01_Power_Entry/Q101","MOSFETs","CSR-01A POWER","Infineon","IAUC100N08S5N034ATMA1","Infineon","IAUC100N08S5N034ATMA1","Functional alternate only","BUK7J2R4-80M","ACTIVE / PRODUCTION - manufacturer review 2026-07-31","Manufacturer orderable; distributor snapshot requires PO revalidation","NOT REVIEWED - BLOCKED","No approved drop-in second source","BUK7J2R4-80M","","BLOCKED","BLOCKED - EXTERNAL EVIDENCE ACQUISITION","PACS-01; QER-01/02/03; PPQ-01/02; applicable ECO","ANALYSIS INCOMPLETE â€” ECO-006 corrected the electrical class; exact manufacturer curve, tolerance, thermal/SOA, lifecycle, sourcing, and cost evidence remain pending after CSR-01A-R2 stopped on released-network conflicts. PACS-01 reviewed candidate IAUC100N08S5N034ATMA1; package rejected as a whole because U101 and U801 remain blocked. Do not procure or assign footprint. PACS-01R: BLOCKED - exact active candidate retained; thermal/tool, dependent-passive, prototype, alternate, and current commercial evidence closure required. PACS-01R-B1R-X: external tool, authoritative thermal and authenticated commercial artifacts remain open; see docs/evidence/External_Evidence_Acquisition_Inventory.csv.","2026-08-01"
"01_Power_Entry/Q102","MOSFETs","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","TRANSIENT COORDINATION UNRESOLVED â€” clamp/current/energy/leakage/fault coordination and exact manufacturer evidence are incomplete.","2026-07-31"
"06_Relay_MasterInhibit/Q601","MOSFETs","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"07_UI_Peripherals/Q701","MOSFETs","OUTSIDE CSR-01A","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","","","NOT YET FROZEN","NOT YET FROZEN","NOT YET FROZEN","Outside current package; do not source or assign a footprint.","2026-07-31"
"01_Power_Entry/C101","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
